sch_arrival	act_arrival	dev_arrival	sign_arrival	sch_dwell	act_dwell	dev_dwell	sign_dwell	sch_depart	act_depart	dev_depart	sign_depart	sch_journey	act_journey	dev_journey	sign_journey	station_name	direction	train_line_desc	date_fr	date_to	train_nbr	loaded_tt
							E	08/02/2019 15:58:22	08/02/2019 15:59:46	01/01/1900 00:01:24	L					KOT	Up	Kwun Tong Line	08/02/2019 16:00:00	08/02/2019 17:00:00	15	KTL838
08/02/2019 15:59:54	08/02/2019 16:01:09	01/01/1900 00:01:15	L	01/01/1900 00:00:18	01/01/1900 00:00:22	01/01/1900 00:00:04	L	08/02/2019 16:00:12	08/02/2019 16:01:31	01/01/1900 00:01:19	L					LOF	Up	Kwun Tong Line	08/02/2019 16:00:00	08/02/2019 17:00:00	15	KTL838
08/02/2019 16:01:40	08/02/2019 16:02:51	01/01/1900 00:01:11	L	01/01/1900 00:00:19	01/01/1900 00:00:30	01/01/1900 00:00:11	L	08/02/2019 16:01:59	08/02/2019 16:03:21	01/01/1900 00:01:22	L	01/01/1900 00:01:28	01/01/1900 00:01:20	01/01/1900 00:00:08	E	WTS	Up	Kwun Tong Line	08/02/2019 16:00:00	08/02/2019 17:00:00	15	KTL838
08/02/2019 16:03:25	08/02/2019 16:04:36	01/01/1900 00:01:11	L	01/01/1900 00:00:18	01/01/1900 00:00:24	01/01/1900 00:00:06	L	08/02/2019 16:03:43	08/02/2019 16:05:00	01/01/1900 00:01:17	L	01/01/1900 00:01:26	01/01/1900 00:01:15	01/01/1900 00:00:11	E	DIH	Up	Kwun Tong Line	08/02/2019 16:00:00	08/02/2019 17:00:00	15	KTL838
08/02/2019 16:05:17	08/02/2019 16:06:29	01/01/1900 00:01:12	L	01/01/1900 00:00:19	01/01/1900 00:00:25	01/01/1900 00:00:06	L	08/02/2019 16:05:36	08/02/2019 16:06:54	01/01/1900 00:01:18	L	01/01/1900 00:01:34	01/01/1900 00:01:29	01/01/1900 00:00:05	E	CHH	Up	Kwun Tong Line	08/02/2019 16:00:00	08/02/2019 17:00:00	15	KTL838
08/02/2019 16:07:36	08/02/2019 16:08:49	01/01/1900 00:01:13	L	01/01/1900 00:00:19	01/01/1900 00:00:16	01/01/1900 00:00:03	E	08/02/2019 16:07:55	08/02/2019 16:09:05	01/01/1900 00:01:10	L	01/01/1900 00:02:00	01/01/1900 00:01:55	01/01/1900 00:00:05	E	KOB	Up	Kwun Tong Line	08/02/2019 16:00:00	08/02/2019 17:00:00	15	KTL838
08/02/2019 16:09:36	08/02/2019 16:10:55	01/01/1900 00:01:19	L	01/01/1900 00:00:18	01/01/1900 00:00:15	01/01/1900 00:00:03	E	08/02/2019 16:09:54	08/02/2019 16:11:10	01/01/1900 00:01:16	L	01/01/1900 00:01:41	01/01/1900 00:01:50	01/01/1900 00:00:09	L	NTK	Up	Kwun Tong Line	08/02/2019 16:00:00	08/02/2019 17:00:00	15	KTL838
08/02/2019 16:11:19	08/02/2019 16:12:42	01/01/1900 00:01:23	L	01/01/1900 00:00:19	01/01/1900 00:00:21	01/01/1900 00:00:02	L	08/02/2019 16:11:38	08/02/2019 16:13:03	01/01/1900 00:01:25	L	01/01/1900 00:01:25	01/01/1900 00:01:32	01/01/1900 00:00:07	L	KWT	Up	Kwun Tong Line	08/02/2019 16:00:00	08/02/2019 17:00:00	15	KTL838
08/02/2019 16:13:09	08/02/2019 16:14:36	01/01/1900 00:01:27	L	01/01/1900 00:00:18	01/01/1900 00:00:20	01/01/1900 00:00:02	L	08/02/2019 16:13:27	08/02/2019 16:14:56	01/01/1900 00:01:29	L	01/01/1900 00:01:31	01/01/1900 00:01:33	01/01/1900 00:00:02	L	LAT	Up	Kwun Tong Line	08/02/2019 16:00:00	08/02/2019 17:00:00	15	KTL838
08/02/2019 16:15:52	08/02/2019 16:16:30	01/01/1900 00:00:38	L	01/01/1900 00:00:23	01/01/1900 00:00:24	01/01/1900 00:00:01	L	08/02/2019 16:16:15	08/02/2019 16:16:54	01/01/1900 00:00:39	L	01/01/1900 00:02:25	01/01/1900 00:01:34	01/01/1900 00:00:51	E	YAT	Up	Kwun Tong Line	08/02/2019 16:00:00	08/02/2019 17:00:00	15	KTL838
08/02/2019 16:19:26	08/02/2019 16:19:21	01/01/1900 00:00:05	E	01/01/1900 00:00:35	01/01/1900 00:00:47	01/01/1900 00:00:12	L	08/02/2019 16:20:01	08/02/2019 16:20:08	01/01/1900 00:00:07	L	01/01/1900 00:03:11	01/01/1900 00:02:27	01/01/1900 00:00:44	E	TIK	Up	Kwun Tong Line	08/02/2019 16:00:00	08/02/2019 17:00:00	15	KTL838
08/02/2019 16:24:02	08/02/2019 16:23:33	01/01/1900 00:00:29	E	01/01/1900 00:00:35	01/01/1900 00:00:52	01/01/1900 00:00:17	L	08/02/2019 16:24:37	08/02/2019 16:24:25	01/01/1900 00:00:12	E	01/01/1900 00:04:01	01/01/1900 00:03:25	01/01/1900 00:00:36	E	TIK	Down	Kwun Tong Line	08/02/2019 16:00:00	08/02/2019 17:00:00	15	KTL838
